room_name,objectId,categoryId,NYU40,mpr40,translation,index,mpcat40,split
2azQ1b91cZZ_room0,33,7,5,3,"[20.15420215162966, -12.140859133667416, 0.4460636853626865]",7,chair,val
2azQ1b91cZZ_room0,34,10,18,8,"[12.34384614472748, -12.597037044648202, 0.6324489385850968]",10,cushion,val
2azQ1b91cZZ_room0,25,7,5,3,"[19.524554449305544, -11.585039714543369, 0.4641431070980337]",7,chair,val
2azQ1b91cZZ_room0,32,7,5,3,"[21.10143826713025, -11.375569387221, 0.5591572693717434]",7,chair,val
2azQ1b91cZZ_room0,41,47,39,5,"[12.807124487322357, -11.513064035805323, 0.331415237487595]",47,table,val
2azQ1b91cZZ_room0,30,275,39,5,"[16.647463147204025, -11.279036587470328, 0.5477677729399925]",275,table,val
2azQ1b91cZZ_room0,35,10,18,8,"[12.930833364507967, -12.870362547693643, 0.6668872809986199]",10,cushion,val
2azQ1b91cZZ_room0,37,10,18,8,"[12.090350674237577, -12.601166390326329, 0.6686845806698815]",10,cushion,val
2azQ1b91cZZ_room0,42,7,5,3,"[19.591137174933714, -9.678864923759498, 0.3558989450153639]",7,chair,val
2azQ1b91cZZ_room0,36,10,18,8,"[12.284112955899847, -12.90852424655718, 0.7028648513275505]",10,cushion,val
2azQ1b91cZZ_room0,5,13,3,7,"[20.277795137042357, -9.775325102291719, 0.8381443817068787]",13,cabinet,val
2azQ1b91cZZ_room0,27,5,11,6,"[20.408029201602147, -9.411449038292751, 2.144540336999026]",5,picture,val
2azQ1b91cZZ_room0,46,12,35,28,"[21.372152112135247, -11.35265321304549, 1.9145477369650086]",12,lighting,val
2azQ1b91cZZ_room0,28,7,5,3,"[20.239765057675832, -10.710489429942, 0.49212821389510386]",7,chair,val
2azQ1b91cZZ_room0,43,7,5,3,"[21.130545866547372, -9.74270117418113, 0.40471334171853507]",7,chair,val
2azQ1b91cZZ_room0,29,15,7,5,"[20.225216660787428, -11.42226880791932, 0.5476381846960253]",15,table,val
2azQ1b91cZZ_room0,45,12,35,28,"[19.683804255922126, -13.224753279820122, 1.8955785246456371]",12,lighting,val
2azQ1b91cZZ_room0,1,12,35,28,"[11.802440716469125, -11.326572078548066, 1.9031034704757064]",12,lighting,val
2azQ1b91cZZ_room1,11,34,5,3,"[14.944508605564845, -4.320320748456282, 0.4430517570137336]",34,chair,val
2azQ1b91cZZ_room1,18,15,7,5,"[14.024508689283538, -4.331480732287695, 0.3663162864906174]",15,table,val
2azQ1b91cZZ_room1,22,15,7,5,"[12.693688692308921, -5.7977135843334935, 0.5706757118832835]",15,table,val
2azQ1b91cZZ_room1,9,15,7,5,"[20.376219111362158, -8.314141074852412, 0.5090197364023716]",15,table,val
2azQ1b91cZZ_room1,14,15,7,5,"[20.09932410637296, -3.0498136318925666, 0.4996995724559306]",15,table,val
2azQ1b91cZZ_room1,21,19,35,28,"[12.218662485651945, -5.5898015451680925, 1.1653164775895823]",19,lighting,val
2azQ1b91cZZ_room1,17,47,39,5,"[14.934726743361017, -5.867096910001841, 0.260761846019736]",47,table,val
2azQ1b91cZZ_room1,20,13,3,7,"[12.532871242641479, -8.160670547984367, 0.452104999138721]",13,cabinet,val
2azQ1b91cZZ_room1,25,16,40,14,"[14.953350694918926, -3.0017431869057325, 4.289910490652042]",16,plant,val
2azQ1b91cZZ_room1,26,16,40,14,"[18.16152881943506, -3.0351234678578622, 4.286517777107441]",16,plant,val
2azQ1b91cZZ_room1,23,16,40,14,"[14.988859265537585, -5.862255385366537, 0.6102640617449405]",16,plant,val
2azQ1b91cZZ_room1,13,47,39,5,"[19.345308823936193, -5.534926040124756, 0.26205844221559627]",47,table,val
2azQ1b91cZZ_room1,12,34,5,3,"[15.016692813090417, -7.390246305377443, 0.6358645334393679]",34,chair,val
2azQ1b91cZZ_room1,15,7,5,3,"[18.09008386033897, -6.529093594565208, 0.4762167323634455]",7,chair,val
2azQ1b91cZZ_room1,16,7,5,3,"[18.326951965001914, -4.281224858302337, 0.47627057229670194]",7,chair,val
2azQ1b91cZZ_room10,23,514,38,28,"[1.6954722625610197, 2.8042970527886943, 1.5201402719668151]",514,lighting,val
2azQ1b91cZZ_room10,21,514,38,28,"[1.7160789292956156, 2.786618691398984, 1.6546276342301143]",514,lighting,val
2azQ1b91cZZ_room10,22,514,38,28,"[1.7391520625069028, 3.4570152529242897, 1.5736699517892332]",514,lighting,val
2azQ1b91cZZ_room10,30,20,19,21,"[1.6532238560968877, 3.173260189929606, 1.478980582603544]",20,mirror,val
2azQ1b91cZZ_room10,9,20,19,21,"[1.649462119231661, 3.1479047619489084, 1.5823876975542046]",20,mirror,val
