model_name,experiment_id,overlap_mAP
LearningBased,AlignRank-0.05,48.602
LearningBased,AlignRank-0.15,41.225
LearningBased,AlignRank-0.25,34.308
LearningBased,AlignRank-0.35,26.893
LearningBased,AlignRank-0.45,18.306
LearningBased,AlignRank-0.55,10.274
LearningBased,AlignRank-0.65,4.517
LearningBased,AlignRank-0.75,0.582
LearningBased,AlignRank-0.85,0.096
LearningBased,AlignRank-0.95,0.0
LearningBased,AlignRank[-Align]-0.05,41.431
LearningBased,AlignRank[-Align]-0.15,33.885
LearningBased,AlignRank[-Align]-0.25,28.121
LearningBased,AlignRank[-Align]-0.35,23.313
LearningBased,AlignRank[-Align]-0.45,16.774
LearningBased,AlignRank[-Align]-0.55,9.706
LearningBased,AlignRank[-Align]-0.65,3.097
LearningBased,AlignRank[-Align]-0.75,1.729
LearningBased,AlignRank[-Align]-0.85,0.258
LearningBased,AlignRank[-Align]-0.95,0.0
LearningBased,AlignRank[-GNN]-0.05,43.514
LearningBased,AlignRank[-GNN]-0.15,36.818
LearningBased,AlignRank[-GNN]-0.25,30.282
LearningBased,AlignRank[-GNN]-0.35,24.865
LearningBased,AlignRank[-GNN]-0.45,16.825
LearningBased,AlignRank[-GNN]-0.55,10.22
LearningBased,AlignRank[-GNN]-0.65,3.136
LearningBased,AlignRank[-GNN]-0.75,0.607
LearningBased,AlignRank[-GNN]-0.85,0.0
LearningBased,AlignRank[-GNN]-0.95,0.0
SVDRank,SVDRank1D-0.05,30.275
SVDRank,SVDRank1D-0.15,24.167
SVDRank,SVDRank1D-0.25,20.502
SVDRank,SVDRank1D-0.35,16.493
SVDRank,SVDRank1D-0.45,12.066
SVDRank,SVDRank1D-0.55,5.782
SVDRank,SVDRank1D-0.65,1.636
SVDRank,SVDRank1D-0.75,0.604
SVDRank,SVDRank1D-0.85,0.04
SVDRank,SVDRank1D-0.95,0.0
SVDRank,SVDRank3D-0.05,29.813
SVDRank,SVDRank3D-0.15,23.55
SVDRank,SVDRank3D-0.25,20.282
SVDRank,SVDRank3D-0.35,16.458
SVDRank,SVDRank3D-0.45,10.908
SVDRank,SVDRank3D-0.55,4.986
SVDRank,SVDRank3D-0.65,1.411
SVDRank,SVDRank3D-0.75,0.959
SVDRank,SVDRank3D-0.85,0.199
SVDRank,SVDRank3D-0.95,0.0
